Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Cracks,1,247257.45354206167,0.5311017,0.6243267,4487.110318207115,0.004279724,0.10090619,0.047292896,4433.0127461309485,0.0028220445
Cracks,1,253504.69514762913,0.57870877,0.59597427,4291.143045554141,0.004663434,0.124801815,0.04972966,4202.866219586243,0.0015683364
Cracks,1,135752.61152611036,0.6103374,0.4966452,4265.2733353499325,0.0056173406,0.11844924,0.04464394,4217.290991064319,0.0016702277
Cracks,1,147408.7449180978,0.9404336,0.40342247,4221.062675634009,0.0071555926,0.10903405,0.039104104,4661.420187846018,0.0015301823
Cracks,1,133639.76482318417,0.48326176,0.5758724,4267.932002215891,0.003966722,0.11494604,0.05332629,4023.914929976895,0.0032123418
Cracks,1,224940.57544448346,0.6507774,0.47216463,4288.6674640089,0.008345191,0.12473236,0.04107503,4232.678543128381,0.0015756733
Cracks,1,106531.38745330233,0.6921712,0.51315516,4382.794607920136,0.0067924308,0.10216092,0.038300283,4361.75011657533,0.0026007444
Cracks,1,194486.14081376547,0.62714845,0.5799534,4571.931939357996,0.0060152053,0.10205394,0.043596327,4668.523532688089,0.002826979
Cracks,1,307069.2383575633,0.53431684,0.6220848,4524.497239590649,0.005146017,0.112939596,0.046629846,4436.892533091317,0.0023443627
Cracks,1,176054.2935897629,0.73898834,0.5100611,4394.09018467687,0.0062518944,0.112446755,0.042817734,4460.181592704352,0.0013532487
Cracks,1,98059.20809444087,0.90914935,0.40480906,4413.962246549228,0.010275636,0.10266148,0.035878018,4677.206081069976,0.001298371
Cracks,1,146724.37072573585,0.67655265,0.48716167,4258.970091833014,0.0041426853,0.12717481,0.050431952,4451.299008399589,0.001902521
Cracks,1,146701.81572840994,0.42904097,0.5810791,4296.815650346,0.0041492647,0.12807947,0.05817411,3972.1486871654956,0.003039635
Cracks,1,270182.7505233449,0.6456573,0.4457661,4200.4866086888305,0.008562754,0.13279286,0.044344563,4024.534708147433,0.0015376416
Cracks,1,193756.2061099419,0.61935544,0.52832556,4484.901467536713,0.008791197,0.10937149,0.039030872,4371.854419685208,0.0020297535
Cracks,1,175933.59299962455,0.63384706,0.5602022,4560.26350054801,0.005991825,0.10938026,0.043529775,4660.550446625783,0.002655291
Cracks,1,269882.9587360434,0.38998607,0.69763225,4499.109305453112,0.0030740022,0.12447594,0.054489322,4158.974918600054,0.0024273656
