Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Defect-free,0,9317.860393713874,1.0383395,0.00047523825,2531.8321472874204,0.010086029,0.16156462,0.045641262,8313.517435045855,0.0009781363
Defect-free,0,10739.965650006092,1.1385604,0.00046651057,2608.1082397800556,0.011669782,0.15602234,0.046064746,8293.27375206811,0.00092535943
Defect-free,0,30630.622137696697,1.0525712,0.00040448358,2534.687723901855,0.010314331,0.17788064,0.053680643,8341.423828604266,0.0009482935
Defect-free,0,23970.99199618076,1.1164021,0.0004752338,2623.7386018852676,0.011507979,0.1568081,0.045719564,8215.83958199127,0.0009275455
Defect-free,0,11171.54842448295,1.0837303,0.0003876685,2577.252677278166,0.010775199,0.15242794,0.044006348,8236.320808406703,0.0009391861
Defect-free,0,6719.535004449789,0.9728453,0.00042939023,2468.5583391964806,0.008925016,0.14746726,0.044183873,8258.286105282243,0.0010481245
Defect-free,0,17911.307597160365,1.323708,0.00054323487,2695.7594283555295,0.015352414,0.10609629,0.02891789,8370.974693972921,0.00087911787
Defect-free,0,13787.967128212136,1.3516567,0.0005471393,2780.693077087347,0.01763059,0.10450552,0.028855773,8397.37509233609,0.0008573482
Defect-free,0,9344.599814570973,1.0244665,0.00049209985,2519.6281153633545,0.009176817,0.15057337,0.042083755,8220.533631962262,0.0010142315
Defect-free,0,101866.27358788138,1.147799,0.000517343,2626.824370851288,0.012878278,0.18798864,0.04509827,8291.671097068214,0.000927228
Defect-free,0,29888.48719761618,1.1041529,0.00040650292,2509.120671539739,0.009304739,0.16944447,0.049500532,8287.750930784194,0.00096572784
Defect-free,0,26720.066408455874,1.1327535,0.00040541365,2620.7338081584103,0.011228432,0.16121665,0.043891042,8219.227390613805,0.0009022758
Defect-free,0,6736.878570024421,1.1027802,0.0005670165,2602.3875987435267,0.01157357,0.1468562,0.041314535,8241.155040531301,0.00090517994
Defect-free,0,12125.045219028427,1.0068915,0.0005362214,2520.3338241138918,0.009737042,0.1474634,0.042575266,8227.13851905635,0.001030206
Defect-free,0,20006.484069158403,1.3457962,0.00056527555,2750.3311679598028,0.015834479,0.09711535,0.027336678,8312.66575760054,0.000836355
Defect-free,0,20225.058783805416,1.3592011,0.0007222848,2819.0421928822425,0.018013733,0.08860656,0.025477864,8349.90587107341,0.00084484596
Defect-free,0,8855.567964448986,1.0387526,0.00059460814,2503.5793973490872,0.008782667,0.14095753,0.039329007,8191.590699821188,0.0010191848
Defect-free,0,17039.251419964643,1.1478329,0.0005355016,2579.5442094331747,0.009821633,0.13457516,0.038198747,8142.199405995437,0.00091632403
Defect-free,0,25314.824715968174,1.0950158,0.00042474372,2481.3003803595543,0.0080294,0.15255281,0.043295167,8150.402477683119,0.0009993395
Defect-free,0,12883.121754466652,1.1435083,0.00040912803,2585.513229892829,0.010081583,0.13828497,0.03980191,8203.621417370321,0.00093646796
Defect-free,0,11292.411771776633,1.1226484,0.0005212662,2633.9725137378496,0.0112779625,0.1233524,0.035090398,8116.03387228864,0.0008987121
Defect-free,0,12488.391833389473,1.0999051,0.0005666646,2594.598765420089,0.010844761,0.12897535,0.03625688,8161.714864571153,0.00097132917
Defect-free,0,54623.88203963165,1.3957222,0.0006887973,2807.992805801487,0.016803881,0.097703956,0.026028367,8282.100709911703,0.0008503151
Defect-free,0,18349.175882193897,1.4100621,0.00072959467,2825.6679934383596,0.017273929,0.0844018,0.024590168,8317.63884111846,0.0008220475
Defect-free,0,14044.91518345958,1.1353191,0.0005931797,2580.2951024215677,0.009890897,0.12535885,0.03284207,8122.275160006413,0.00093113433
Defect-free,0,15374.408698141966,1.2202808,0.0005253475,2628.56304362738,0.010273709,0.119132906,0.03416525,8106.632836907353,0.0008611868
Defect-free,0,38813.578904332,1.1506783,0.00055434566,2486.4088719754827,0.007860128,0.16218339,0.04243192,8128.876589782318,0.0009952228
Defect-free,0,21777.967021993343,1.2966889,0.00045941924,2663.17016822356,0.01142014,0.1198727,0.034239702,8079.291585901914,0.0008591287
Defect-free,0,17638.344042910532,1.2205124,0.0005731072,2713.6516513945858,0.013083434,0.12156975,0.03135733,8053.431805637103,0.0008496847
Defect-free,0,26189.55248735388,1.095164,0.0006050172,2654.6900836657246,0.011776397,0.12251685,0.032952823,8081.061928470757,0.0009541387
Defect-free,0,38879.06355224488,1.4261189,0.0007716742,2853.1334178587795,0.018044095,0.09063019,0.023370126,8305.993667279094,0.00083025015
Defect-free,0,15493.79949708107,1.4400358,0.00072371744,2843.222105221309,0.01768684,0.08320179,0.023140075,8345.809730580271,0.00081325887
Defect-free,0,11029.508459057572,1.0939193,0.0007762822,2616.3397516927566,0.010574326,0.11505758,0.032896616,8115.638866781772,0.0009357482
Defect-free,0,15743.966302363919,1.3420582,0.0006495916,2716.7481876660227,0.012685445,0.11029123,0.03143422,8127.60137395845,0.0007994773
Defect-free,0,74638.83959407461,1.2446858,0.00063274597,2560.851739864667,0.008655933,0.14736798,0.03873623,7969.796594420604,0.00096775295
Defect-free,0,80618.69199592584,1.3998288,0.00049769005,2757.7104198976485,0.0150212925,0.12692015,0.03328755,8072.917572552316,0.00080599607
