Label,label,S-centroid var,S-entropy mean,BER mean,S-bandwidth mean,S-flatness mean,AE mean,RMSE mean,S-centroid mean,S-flux mean
Cracks,1,23599.60997053084,1.6701772,0.02631852,3009.465474685858,0.012645321,0.27072388,0.07671936,7526.070706662977,0.000909849
Cracks,1,81893.92802783691,1.6824741,0.025445614,3105.3549786117724,0.018020254,0.25056404,0.07330624,7569.045071165512,0.00088851136
Cracks,1,10379.181054538394,1.3702589,0.02385446,3032.4490360740233,0.015068269,0.23971593,0.0707978,7554.3109040854915,0.00087980565
Cracks,1,24541.980330367678,1.2494798,0.024618754,3046.2086824393764,0.015533852,0.25997573,0.07497742,7669.795384016264,0.000977369
Cracks,1,45607.67169117843,1.6434095,0.026900092,3150.0806003216762,0.018214185,0.23752147,0.059652884,8066.353483853527,0.0008118991
Cracks,1,36537.3013768606,1.5508894,0.031404953,3153.053406824473,0.01586338,0.1978437,0.055931404,7924.006777737108,0.00085642916
Cracks,1,18540.568530466313,1.4053098,0.03271972,3113.451872765134,0.015111289,0.2500186,0.067922354,7614.351912875098,0.000858823
Cracks,1,23614.00915707932,1.8350763,0.029174322,3231.3238497985667,0.019837651,0.18998876,0.054847986,7469.3527025866,0.000685411
Cracks,1,24860.72182092124,1.4795424,0.022629868,2884.6556513641117,0.010304649,0.29189712,0.080144,7628.816280252494,0.0009242033
Cracks,1,26443.969947501257,1.7791239,0.028780239,3181.5369112150834,0.018706402,0.25116563,0.066605695,7489.582857482692,0.00080106704
Cracks,1,11852.192402587547,1.5583149,0.028045336,3206.713569848692,0.020307606,0.19576325,0.058355715,7381.2985331224445,0.0007390759
Cracks,1,28427.794928131138,1.4277834,0.029348968,3167.3526241922177,0.017535804,0.2210774,0.06387978,7575.425912287564,0.0008497371
Cracks,1,32413.092746176862,1.6859864,0.029269336,3159.8565754335955,0.017580844,0.22332764,0.05732683,8039.159114354398,0.00079703896
Cracks,1,39621.690271151885,1.6015438,0.032252047,3159.588869364726,0.01605989,0.18584469,0.054907925,7967.081923967318,0.0008560259
Cracks,1,12872.46359029531,1.554347,0.034939274,3167.040584285015,0.015878703,0.20438428,0.059214395,7560.7193401346985,0.0008197152
Cracks,1,49374.04679594207,1.92593,0.031167997,3310.1641585383613,0.022762796,0.2058772,0.057022277,7444.224350259037,0.000657233
Cracks,1,35739.50169190063,1.7720249,0.023826243,3091.7510384665065,0.016319975,0.23392636,0.065543845,7469.897165345262,0.0007642224
Cracks,1,17162.537318583756,1.9736812,0.032808974,3347.941531703279,0.023293834,0.18337627,0.054307636,7354.2078542085565,0.00071920315
Cracks,1,82244.26433888725,1.736762,0.031339176,3376.280449646108,0.028553532,0.22020888,0.055651955,7374.658213389583,0.0006749764
Cracks,1,33013.42813439793,1.4685862,0.028207015,3235.463270189946,0.020860063,0.19905318,0.058012024,7610.301807381213,0.00083053776
Cracks,1,28780.205922222194,1.6438259,0.028462319,3154.209542434312,0.0181642,0.20869182,0.055422936,8106.774917485014,0.00082047895
Cracks,1,54665.12579928558,1.6395061,0.03307237,3216.2801172966206,0.018940581,0.22111177,0.054549288,7994.001520244972,0.00079183496
Cracks,1,14956.101444443915,1.526774,0.030232733,3188.7704801137043,0.016911201,0.22256505,0.06365037,7706.102877832094,0.0008105725
Cracks,1,11160.422010626065,1.8673278,0.02500605,3295.2473572909353,0.024695495,0.19567871,0.058867697,7708.643448918439,0.00068152155
Cracks,1,30185.882554783224,1.7905731,0.028351646,3111.5885529686657,0.014328939,0.2406946,0.06950655,7549.660454043338,0.0008216194
Cracks,1,25561.749091627484,2.0528495,0.03467303,3424.8826323670614,0.025998466,0.2032162,0.05702629,7363.90308800443,0.00068096205
Cracks,1,162752.35896592648,1.9647636,0.031356815,3485.9537058441597,0.032365683,0.22823747,0.05887853,7198.683371064537,0.00060187955
Cracks,1,35447.971213162324,1.6843324,0.031503893,3400.6971591669235,0.030039484,0.18921074,0.052840974,7687.334986236039,0.00072167674
Cracks,1,25579.40297009655,1.7097062,0.02880775,3171.584920014723,0.018824633,0.22471882,0.05676263,8102.184692489772,0.0007601759
Cracks,1,45282.489962263666,1.6810904,0.037194412,3280.888023916503,0.019562405,0.20331688,0.05489746,7938.762649374727,0.0007902301
Cracks,1,15065.746446354071,1.7238547,0.038882595,3365.1129483680575,0.022680372,0.18299498,0.052201748,7507.048285372572,0.0007251849
Cracks,1,24789.890529800763,2.0102842,0.029816847,3437.503751460339,0.029692166,0.16829252,0.050005794,7508.927227695404,0.0006090446
Cracks,1,25558.57588768674,1.842242,0.027500046,3173.0821909029814,0.017930971,0.22274289,0.063161045,7503.102427892724,0.0007299363
Cracks,1,47117.840429675714,1.9874867,0.03205845,3370.099551409538,0.02344146,0.2090896,0.062017694,7363.695417388887,0.00073736504
Cracks,1,82159.91294703222,2.026057,0.03272147,3541.871992489315,0.03555581,0.20180327,0.05840539,7407.8796692134265,0.00060896017
Cracks,1,33847.926507927805,1.821527,0.03473434,3487.603231312406,0.03211766,0.16568765,0.049842857,7679.116660752723,0.00065226544
Cracks,1,24557.516917057415,1.5333489,0.0272779,3086.0747178198612,0.015550194,0.2235332,0.061736852,8097.685268744995,0.00091009616
Cracks,1,42918.09107914137,1.6946666,0.03717399,3273.607442844412,0.01891334,0.19249892,0.056999974,7901.526862387537,0.0007629452
Cracks,1,25816.898524522876,1.8582203,0.040322512,3450.068365074646,0.025464335,0.18078543,0.05168259,7613.126064972821,0.0006656256
Cracks,1,33459.78189464073,1.9585472,0.03269877,3490.294605625927,0.029477993,0.19966564,0.056576043,7660.1588871868835,0.00066001975
Cracks,1,119391.76645747454,1.9305505,0.031797696,3314.9767378818897,0.024532627,0.2582299,0.06464605,7328.648076470209,0.0006740963
Cracks,1,46327.83324871833,1.9830979,0.0318378,3398.370973016188,0.023663545,0.2117085,0.061874285,7425.550659610334,0.00073867786
Cracks,1,113213.70677931138,2.0947607,0.033827268,3584.3677625308173,0.037810415,0.20170715,0.053236727,7382.582986022602,0.00058295974
Cracks,1,145202.55203786617,1.9744958,0.03343024,3565.3709516247586,0.03672682,0.16811186,0.047261797,7543.2972208647225,0.0005982542
Cracks,1,95335.99418560452,1.4853688,0.030578222,3081.333749752814,0.01592418,0.26233858,0.067024626,8061.3171510640195,0.0008772875
Cracks,1,133077.69789727806,1.6471496,0.034945555,3261.857118515724,0.020453643,0.23269197,0.064289525,7854.1908617573245,0.0007610024
Cracks,1,15122.643118174516,1.8203661,0.035391286,3475.796648456073,0.029091744,0.17569146,0.05195818,7630.9854997289,0.00065150904
Cracks,1,16425.168115566197,1.993162,0.032541383,3504.914349096895,0.032316297,0.17391688,0.052079234,7593.975931898454,0.00059715786
Cracks,1,93878.18251047832,1.8682913,0.03285705,3298.5437593780207,0.021491224,0.26966736,0.068040945,7414.634196117793,0.0007694114
Cracks,1,57078.62527922436,1.9169772,0.03654413,3377.3613532339123,0.022008214,0.21137457,0.062804766,7336.283835325405,0.0007437062
Cracks,1,104812.39675216578,2.0697224,0.032146405,3590.1740160598747,0.0373883,0.18245934,0.052544143,7381.839371490344,0.0005894263
Cracks,1,176027.9007396808,2.089835,0.039772484,3660.675769840654,0.039053194,0.18274102,0.04823836,7506.514066346339,0.0005642363
Cracks,1,17587.972645116544,1.4497727,0.027073298,2998.1833798429952,0.014127482,0.25234705,0.070109576,8120.419609595517,0.0009149161
Cracks,1,37639.21977263025,1.5816182,0.036963,3283.468292601444,0.019610092,0.21893275,0.065507144,7885.2114778677,0.0008434927
Cracks,1,116095.97502599734,1.8662153,0.037679948,3552.2819831387505,0.031004895,0.20081444,0.05560448,7634.846446615761,0.0006425214
Cracks,1,66797.42325993053,1.875464,0.029157419,3460.583306580994,0.031023381,0.20638862,0.05942882,7705.868189766697,0.00063272746
Cracks,1,142582.2370419169,1.9079825,0.03219863,3374.9477249788415,0.026330773,0.2645362,0.069147594,7501.806354480466,0.0007073908
Cracks,1,76908.99652398158,1.9011204,0.033425752,3405.316672194891,0.024251241,0.21512963,0.063603126,7428.534883053161,0.00073782634
Cracks,1,53592.115670755964,1.9697504,0.030189969,3554.9611458317004,0.034815043,0.20651737,0.057477523,7573.201653799752,0.00062061346
Cracks,1,180684.07788076726,2.0033557,0.039327778,3636.976497991712,0.035579167,0.20370623,0.05483753,7541.047460899768,0.00059862336
Cracks,1,19877.39428324955,1.3050623,0.026488427,2922.30032992773,0.01130261,0.2864513,0.07823788,8090.698298831755,0.000993557
Cracks,1,34564.1239211262,1.465886,0.037924014,3201.980976593398,0.015449038,0.22563961,0.069346406,7855.278176894807,0.0008791248
Cracks,1,39874.68018489685,1.9002424,0.039954517,3538.741669125567,0.029688165,0.18355131,0.052852385,7650.281434427118,0.0006433883
Cracks,1,27531.773859626977,1.8718337,0.032822095,3474.569577296847,0.02994018,0.20728697,0.05992145,7692.43854704725,0.0006568139
Cracks,1,195634.79899094734,1.8687409,0.033890393,3329.9551361520043,0.023052953,0.31176794,0.072310604,7423.121276710869,0.00072245183
Keyhole pores,2,51368.184049562886,1.7199488,0.033754993,3320.927520664379,0.01928122,0.23942688,0.0725732,7445.296996437039,0.0009163525
Keyhole pores,2,37167.32818713109,1.8314527,0.032141037,3477.723830127935,0.027575776,0.21605183,0.06006054,7675.659251138117,0.000697256
Keyhole pores,2,197014.34415548324,1.8864242,0.0364746,3549.5758621016366,0.03087113,0.21261457,0.057843372,7551.733022707212,0.0006283252
Keyhole pores,2,18404.736598993462,1.2425892,0.024007458,2861.081141706553,0.010931626,0.30892208,0.08482499,8068.187915416742,0.0010609888
Keyhole pores,2,52432.4246261101,1.3667126,0.03392539,3103.1709404910525,0.013566482,0.24939807,0.07701583,7863.492861149372,0.0009196143
Keyhole pores,2,94855.62377449474,1.8836259,0.036289852,3541.832071435057,0.030655028,0.22742681,0.055766117,7619.047717702736,0.00063305796
Keyhole pores,2,87004.89222865098,1.7712095,0.030892095,3427.7842069256967,0.026793435,0.23319253,0.06587693,7696.6271133601895,0.00070295745
Keyhole pores,2,150637.64346362368,1.7604418,0.03111812,3257.4839325399994,0.022212716,0.30838925,0.0785618,7594.470035126094,0.00078610465
Keyhole pores,2,26408.86025093507,1.6296891,0.0337895,3242.485321921971,0.016707264,0.26430327,0.080323435,7550.186383921336,0.0009389089
Keyhole pores,2,21180.952671512896,1.8283633,0.032678194,3496.324735932599,0.030385941,0.2034428,0.057956718,7723.46932241905,0.00070304604
Keyhole pores,2,107098.66461894943,1.8670855,0.037233952,3555.7180623286627,0.028865164,0.17642704,0.051899213,7609.443790573869,0.0006525385
Keyhole pores,2,57222.37843228779,1.2336069,0.027881106,2910.1548225076017,0.01026375,0.30745056,0.0856167,7949.519562520002,0.0010417517
Keyhole pores,2,42613.06300323298,1.4188902,0.03594055,3107.719609592405,0.012544533,0.24988285,0.075014316,7810.644991451164,0.0009092091
Keyhole pores,2,85366.96197051395,1.84894,0.04108225,3555.0340193071297,0.02806897,0.20275037,0.055673108,7526.204587864462,0.000640762
Keyhole pores,2,29738.437363414865,1.7595417,0.030139267,3380.8345032578222,0.024182022,0.22228968,0.06447031,7784.10623539804,0.00072802376
Keyhole pores,2,153721.21377693833,1.5431299,0.030662293,3184.2196453334554,0.017474428,0.30061007,0.08131657,7540.055722230965,0.0009436016
Keyhole pores,2,23843.538205344717,1.4625784,0.030601116,3150.2763280139397,0.012839342,0.26224247,0.08016378,7431.6215373779405,0.0009939967
Keyhole pores,2,47857.061987511945,1.6521224,0.030682676,3324.4327567267055,0.018334337,0.25241265,0.07195846,7545.942503994272,0.0007919338
Keyhole pores,2,157662.2075470075,1.7324347,0.03765257,3409.3827634744966,0.021356357,0.2503592,0.064239696,7517.203519629238,0.0007060591
Keyhole pores,2,25492.502520049868,1.189187,0.026881376,2813.2487927768298,0.008737999,0.32450637,0.08947577,7961.75885865092,0.0011405827
Keyhole pores,2,51250.602384641854,1.3712349,0.03795648,3122.0692293683514,0.012027944,0.25643677,0.08236161,7717.510235715442,0.0009384576
Keyhole pores,2,143829.9346751808,1.7385224,0.040825177,3495.6500883963026,0.023325197,0.22342235,0.06364455,7526.733856004444,0.00071754516
Keyhole pores,2,310569.1436965272,2.014256,0.0495522,3633.575328309665,0.026059998,0.27487007,0.07228612,6874.754838768927,0.0006071514
Keyhole pores,2,410503.71135052317,1.9129411,0.044392128,3402.9027458021133,0.01921426,0.33339787,0.084619835,6800.981793177874,0.000767482
Keyhole pores,2,115729.7282169886,1.5209321,0.028208558,3167.001625923389,0.013527783,0.31871015,0.09516823,7525.903453773896,0.00096378394
Keyhole pores,2,122040.04055502448,1.7855403,0.035006985,3451.461900698032,0.021484466,0.27292782,0.07269602,7435.043601542484,0.00071784237
Keyhole pores,2,60818.35597504609,1.6818447,0.03456506,3423.5082873333026,0.020404052,0.21686317,0.06220536,7696.086455357343,0.0007008742
Keyhole pores,2,105453.51994955943,1.175377,0.027981613,2861.6515483353187,0.009852141,0.3518603,0.09619132,7873.644979855588,0.0010803754
Keyhole pores,2,64616.71795834663,1.2491895,0.033853784,3046.589898310561,0.010780512,0.3144875,0.09159543,7735.206851691539,0.0010129223
Keyhole pores,2,219432.14225790216,1.8171458,0.04593362,3597.3889882819044,0.025332429,0.2434517,0.06682623,7251.5350440507045,0.000658257
Keyhole pores,2,180276.46758752078,1.6975346,0.032516785,3348.7512475969907,0.018111112,0.27530435,0.079215385,7489.050123628956,0.00076816446
Keyhole pores,2,129304.02542041047,1.4596624,0.032543894,3086.4857039584795,0.011459479,0.37546232,0.10169869,7524.156665277215,0.0009389508
Keyhole pores,2,30731.55725072974,1.4063516,0.027961608,3064.3988249361396,0.011283532,0.33332175,0.100850224,7603.134527680237,0.0010067387
Keyhole pores,2,20229.196272928395,1.527957,0.025595602,3199.1352403986552,0.015803551,0.24779607,0.075681396,7819.1174523486525,0.0008331625
Keyhole pores,2,51240.690759010075,1.6068635,0.03619477,3343.8337088691014,0.017541856,0.2313534,0.06493057,7663.519674755156,0.0007430481
Keyhole pores,2,121786.05366028409,1.2026831,0.036600977,2983.075060844284,0.009231388,0.36568618,0.09976377,7651.626307325954,0.0010326647
Keyhole pores,2,22583.506008826153,1.1467745,0.03319571,2949.8577562341075,0.008274871,0.31771043,0.094313644,7790.0508341473305,0.0010857638
Keyhole pores,2,84103.98685495195,1.5588484,0.03661483,3354.7978827346146,0.0162815,0.25657216,0.0747195,7532.6062363845285,0.0008323383
