Label,label,AE mean,AE var,RMSE mean,RMSE var,ZCR mean,ZCR var,Rolloff mean,Rolloff var,S-centroid mean,S-centroid var,S-bandwidth mean,S-bandwidth var,S-flatness mean,S-flatness var,S-kurtosis mean,S-kurtosis var,BER mean,S-crest mean,S-crest var,S-skewness mean,S-skewness var,S-entropy mean,S-entropy var,S-flux mean,S-flux var
Defect-free,0,0.4520099,0.006881454,0.13080221,7.876217e-05,0.3657507183908046,0.0009191631247084119,10112.68521012931,36722.45722463382,8173.704038733753,5287.156603715879,2607.4804657137697,10747.467719930959,0.008889321,4.0149253e-06,27.728563,109.98433,0.00046195454,0.00024368086,2.5998363e-09,4.502661,0.4872299,1.0567122,0.011706278,0.0010263155,9.172118e-08
Defect-free,0,0.4722574,0.017994257,0.13088842,9.5449825e-05,0.36530172413793105,0.0011602170024180853,10060.461004849138,65097.71522245284,8172.182047125759,15519.275351390792,2618.9302503720396,16058.631556774102,0.009137643,7.352096e-06,20.632404,60.541603,0.0005130602,0.00020776676,1.8327099e-09,3.9974446,0.29152015,1.1714897,0.011133271,0.0009572718,4.6391353e-08
Defect-free,0,0.44548404,0.004365865,0.12692262,9.7836295e-05,0.3672380118534483,0.0009433594763019091,10094.617120150862,80852.13639081304,8145.03393110743,24171.730424645903,2667.1092770559944,14886.026612759717,0.009407208,7.566242e-06,25.60844,124.09091,0.00046047702,0.00023161843,2.5355955e-09,4.313785,0.5077691,1.1892363,0.011161843,0.000995757,7.87421e-08
Defect-free,0,0.44094288,0.0029753405,0.13153213,9.740844e-05,0.36076688218390807,0.0009102411858549458,9905.025929418103,24052.61219469177,8120.966446069058,8324.292341915123,2538.4757619093543,10782.849540096771,0.0072256643,3.781182e-06,29.020718,113.416176,0.0003889027,0.0002534615,2.6887408e-09,4.611313,0.4122991,1.0334009,0.012182469,0.0010638158,7.0773446e-08
Defect-free,0,0.43958536,0.003317,0.13404673,0.00012665604,0.36791711566091956,0.0008702161589612544,9867.157192887931,30887.41835459234,8212.885066493378,4201.9519957068,2436.419172660313,5566.108418269279,0.006287288,1.3979161e-06,30.053019,121.56871,0.00033758482,0.0002637238,3.011545e-09,4.729231,0.48014662,0.94626784,0.008066238,0.0011256306,9.563591e-08
Defect-free,0,0.28784284,0.0067616473,0.08585179,0.0004519691,0.36893296515804597,0.0011699590583445455,10151.296470905172,83447.61068840796,8256.177598700315,13238.832243492787,2624.899038288847,24165.824552009788,0.010246045,1.7494329e-05,24.137917,121.01679,0.00049802643,0.00022864348,6.911726e-09,4.2048664,0.5720545,1.2545823,0.027605042,0.00096404465,6.499154e-08
Defect-free,0,0.27524295,0.003115553,0.08345525,0.0002869669,0.36838294719827586,0.0009152738999810145,10375.538793103447,112411.45717403124,8327.198491782397,14162.120364639324,2780.172983004658,46395.43981501551,0.014392761,4.308179e-05,27.459263,179.18898,0.0006431045,0.00023345178,5.043258e-09,4.393225,0.7778352,1.2388616,0.040052246,0.00093006477,7.379844e-08
Defect-free,0,0.42813602,0.00367697,0.121290445,7.86579e-05,0.3648920168821839,0.0008693186164863015,9857.009361530172,21094.354693019286,8173.615439219381,3032.12866834117,2473.744702241671,7020.700269668982,0.0066564432,1.8624442e-06,28.76498,133.11575,0.00043412208,0.00025266875,3.477273e-09,4.6511106,0.54952806,0.95346254,0.011555714,0.0011793282,1.45797e-07
Defect-free,0,0.41073924,0.0018987064,0.12453023,8.668792e-05,0.36511651400862066,0.0008831186706567163,9947.844827586207,25379.509222776796,8142.55102693908,3942.0669105434918,2552.1395316237595,9620.750886607073,0.00760566,3.89631e-06,28.149862,96.00555,0.0004662041,0.00024862099,2.9949099e-09,4.5633183,0.4954376,1.0516094,0.01529066,0.0010868572,8.324056e-08
Defect-free,0,0.4558765,0.0066086245,0.13451578,0.00015420018,0.36516141343390807,0.001182559050283937,9988.683661099138,48838.75463011715,8182.03168673365,17890.48347250654,2548.4979634619926,18014.735619742387,0.007574625,4.6545415e-06,25.607986,119.56699,0.0003847416,0.000237504,2.466874e-09,4.344238,0.43467444,1.0985736,0.0075808233,0.0010260799,5.2983896e-08
